,College Name,360 Careers Rating,NIRF Rank
0,Indian Institute of Technology Bombay,AAAAA,3
1,Indian Institute of Technology Delhi,AAAAA,2
2,Indian Institute of Technology Kanpur,AAAAA,5
3,Indian Institute of Technology Kharagpur,AAAAA,4
4,Indian Institute of Technology Madras,AAAAA,1
5,Indian Institute of Technology Roorkee,AAAAA,6
6,"BITS Pilani- Hyderabad Campus, Hyderabad",AAAA+,--
7,"Birla Institute of Technology and Science, Pilani",AAAA+,25
8,"College of Engineering, Pune",AAAA+,71
9,"Delhi Technological University, Delhi",AAAA+,34
10,Dr B R Ambedkar National Institute of Technology Jalandhar,AAAA+,113
11,"Graphic Era University, Dehradun",AAAA+,104
12,Indian Institute of Engineering Science and Technology Shibpur,AAAA+,19
13,Indian Institute of Information Technology Allahabad,AAAA+,82
14,Indian Institute of Information Technology Design and Manufacturing Jabalpur,AAAA+,75
15,"Indian Institute of Space Science and Technology, Thiruvananthapuram",AAAA+,30
16,Indian Institute of Technology Banaras Hindu University Varanasi,AAAA+,11
17,Indian Institute of Technology Bhubaneswar,AAAA+,17
18,Indian Institute of Technology Gandhinagar,AAAA+,24
19,Indian Institute of Technology Hyderabad,AAAA+,8
20,Indian Institute of Technology Indian School of Mines Dhanbad,AAAA+,15
21,Indian Institute of Technology Indore,AAAA+,13
22,Indian Institute of Technology Mandi,AAAA+,20
23,Indian Institute of Technology Patna,AAAA+,22
24,Indian Institute of Technology Ropar,AAAA+,29
25,"Indraprastha Institute of Information Technology, Delhi",AAAA+,55
26,"Institute of Chemical Technology, Mumbai",AAAA+,12
27,"International Institute of Information Technology, Hyderabad",AAAA+,39
28,"Jadavpur University, Kolkata",AAAA+,14
29,"Jamia Millia Islamia, New Delhi",AAAA+,27
30,Malaviya National Institute of Technology Jaipur,AAAA+,53
31,Motilal Nehru National Institute of Technology Allahabad Prayagraj,AAAA+,42
32,National Institute of Technology Calicut,AAAA+,28
33,National Institute of Technology Jamshedpur,AAAA+,130
34,National Institute of Technology Karnataka Surathkal,AAAA+,21
35,National Institute of Technology Tiruchirappalli,AAAA+,10
36,National Institute of Technology Warangal,AAAA+,26
37,"Netaji Subhas University of Technology, New Delhi",AAAA+,--
38,"Punjab Engineering College, Chandigarh",AAAA+,78
39,"RV College of Engineering, Bangalore",AAAA+,63
40,Sardar Vallabhbhai National Institute of Technology Surat,AAAA+,58
41,"Thapar Institute of Engineering and Technology, Patiala",AAAA+,23
42,"Veermata Jijabai Technological Institute, Mumbai",AAAA+,105
43,Visvesvaraya National Institute of Technology Nagpur,AAAA+,31
44,"Alagappa College of Technology, Chennai",AAAA,--
45,"Amity School of Engineering, Noida",AAAA,--
46,"Amrita School of Engineering, Coimbatore",AAAA,--
47,"Andhra University College of Engineering, Visakhapatnam",AAAA,59
48,"Anna University, Chennai",AAAA,9
49,"Army Institute of Technology, Pune",AAAA,91
50,Atal Bihari Vajpayee Indian Institute of Information Technology and Management Gwalior,AAAA,81
51,"BMS College of Engineering, Bangalore",AAAA,69
52,"Banasthali Vidyapith, Banasthali",AAAA,--
53,"Bannari Amman Institute of Technology, Erode",AAAA,98
54,"Bharath Institute of Higher Education and Research, Chennai",AAAA,--
55,"Bharati Vidyapeeth Deemed University College of Engineering, Pune",AAAA,93
56,"Bipin Tripathi Kumaon Institute of Technology, Dwarahat",AAAA,--
57,"Birla Institute of Technology, Mesra",AAAA,33
58,"CVR College of Engineering, Hyderabad",AAAA,132
59,"Chaitanya Bharathi Institute of Technology, Hyderabad",AAAA,100
60,"Chandigarh University, Chandigarh",AAAA,117
61,"Cochin University of Science and Technology, Kochi",AAAA,--
62,"Coimbatore Institute of Technology, Coimbatore",AAAA,68
63,"College of Engineering and Technology, Bhubaneswar",AAAA,--
64,"College of Engineering, Trivandrum",AAAA,--
65,"College of Technology, GB Pant University of Agriculture and Technology, Pantnagar",AAAA,--
66,"Dayalbagh Educational Institute, Agra",AAAA,84
67,"Dayananda Sagar College of Engineering, Bangalore",AAAA,127
68,"Dhirubhai Ambani Institute of Information and Communication Technology, Gandhinagar",AAAA,91
69,"Dr Vishwanath Karad MIT World Peace University, Pune",AAAA,154
70,"Fr C Rodrigues Institute of Technology, Navi Mumbai",AAAA,--
71,"Fr Conceicao Rodrigues College of Engineering, Mumbai",AAAA,--
72,"GITAM University, Visakhapatnam",AAAA,--
73,"Galgotias College of Engineering and Technology, Greater Noida",AAAA,--
74,"Gayatri Vidya Parishad College of Engineering, Visakhapatnam",AAAA,198
75,"Government College of Technology, Coimbatore",AAAA,90
76,"Government Engineering College, Thrissur",AAAA,--
77,"Govind Ballabh Pant Institute of Engineering and Technology, Pauri Garhwal",AAAA,--
78,"Guru Gobind Singh Indraprastha University, Delhi",AAAA,73
79,"Guru Nanak Dev Engineering College, Ludhiana",AAAA,--
80,"Harcourt Butler Technical University, Kanpur",AAAA,--
81,"Hindustan Institute of Technology and Science, Chennai",AAAA,95
82,"ICFAI Foundation for Higher Education, Hyderabad",AAAA,--
83,Indian Institute of Information Technology Design and Manufacturing Kancheepuram,AAAA,197
84,Indian Institute of Technology Goa,AAAA,--
85,Indian Institute of Technology Guwahati,AAAA,7
86,Indian Institute of Technology Jodhpur,AAAA,50
87,"Institute of Engineering and Management, Kolkata",AAAA,101
88,"Institute of Engineering and Technology Devi Ahilya Vishwavidyalaya, Indore",AAAA,--
89,"Institute of Engineering and Technology, Lucknow",AAAA,--
90,"JNTUA College of Engineering, Anantapur",AAAA,185
91,"JNTUH College of Engineering, Hyderabad",AAAA,--
92,"JSS Science and Technology University, Mysuru",AAAA,120
93,"Jabalpur Engineering College, Jabalpur",AAAA,--
94,"Jawaharlal Nehru Technological University College of Engineering, Kakinada",AAAA,103
95,"Jaypee Institute of Information Technology, Noida",AAAA,80
96,"Jaypee University of Information Technology, Solan",AAAA,121
97,"Kalasalingam Academy of Research and Education, Virudhunagar",AAAA,61
98,"Kalinga Institute of Industrial Technology, Bhubaneswar",AAAA,48
99,"Kamla Nehru Institute of Technology, Sultanpur",AAAA,--
100,"Karunya Institute of Technology and Sciences, Coimbatore",AAAA,72
101,"Koneru Lakshmaiah Education Foundation, Guntur",AAAA,52
102,"Kumaraguru College of Technology, Coimbatore",AAAA,77
103,"LNM Institute of Information Technology, Jaipur",AAAA,--
104,"MBM Engineering College, Jodhpur",AAAA,--
105,"Madras Institute of Technology, Chennai",AAAA,--
106,"Maharaja Agrasen Institute of Technology, Delhi",AAAA,--
107,"Maharaja Sayajirao University of Baroda, Vadodara",AAAA,137
108,"Maharashtra Institute of Technology, Pune",AAAA,--
109,"Maharishi Markandeshwar Deemed to be University, Mullana",AAAA,--
110,"Manipal Institute of Technology, Manipal",AAAA,43
111,"Manipal University, Jaipur",AAAA,--
112,"Maulana Abul Kalam Azad University of Technology, Kolkata",AAAA,165
113,Maulana Azad National Institute of Technology Bhopal,AAAA,62
114,"Narsee Monjee Institute of Management Studies, Mumbai",AAAA,110
115,"National Dairy Research Institute, Karnal",AAAA,--
116,"National Institute of Foundry and Forge Technology, Ranchi",AAAA,--
117,National Institute of Technology Agartala,AAAA,70
118,National Institute of Technology Delhi,AAAA,--
119,National Institute of Technology Durgapur,AAAA,46
120,National Institute of Technology Goa,AAAA,87
121,National Institute of Technology Hamirpur,AAAA,60
122,National Institute of Technology Meghalaya,AAAA,67
123,National Institute of Technology Patna,AAAA,134
124,National Institute of Technology Puducherry Karaikal,AAAA,--
125,National Institute of Technology Raipur,AAAA,74
126,National Institute of Technology Rourkela,AAAA,16
127,National Institute of Technology Silchar,AAAA,51
128,National Institute of Technology Srinagar,AAAA,--
129,National Institute of Technology Uttarakhand,AAAA,--
130,"New Horizon College of Engineering, Bangalore",AAAA,106
131,"Nirma University, Ahmedabad",AAAA,136
132,"North Eastern Regional Institute of Science and Technology, Nirjuli",AAAA,173
133,"Osmania University, Hyderabad",AAAA,--
134,"PSG College of Technology, Coimbatore",AAAA,44
135,"Pandit Deendayal Petroleum University, Gandhinagar",AAAA,--
136,"Pondicherry Engineering College, Puducherry",AAAA,76
137,"Ramaiah Institute of Technology, Bangalore",AAAA,64
138,"SRM Institute of Science and Technology, Chennai",AAAA,36
139,"Sagi Ramakrishnam Raju Engineering College, Bhimavaram",AAAA,189
140,"Sant Longowal Institute of Engineering and Technology, Longowal",AAAA,133
141,"Sardar Patel Institute of Technology, Mumbai",AAAA,114
142,"Sathyabama Institute of Science and Technology, Chennai",AAAA,47
143,"Shanmugha Arts Science Technology Research and Academy, Thanjavur",AAAA,38
144,"Shiv Nadar University, Greater Noida",AAAA,--
145,"Shri Govindram Seksaria Institute of Technology and Science, Indore",AAAA,--
146,"Shri Mata Vaishno Devi University, Katra",AAAA,85
147,"Siddaganga Institute of Technology, Tumkur",AAAA,79
148,"Sri Krishna College of Engineering and Technology, Coimbatore",AAAA,97
149,"Sri Sai Ram Engineering College, Chennai",AAAA,123
150,"Sri Sivasubramaniya Nadar College of Engineering, Kalavakkam",AAAA,37
151,"Symbiosis Institute of Technology, Pune",AAAA,--
152,"TKM College of Engineering, Kollam",AAAA,--
153,"The National Institute of Engineering, Mysore",AAAA,178
154,"Thiagarajar College of Engineering, Madurai",AAAA,56
155,"University College of Technology, Osmania University, Hyderabad",AAAA,--
156,"University Institute of Engineering and Technology, Kurukshetra University, Kurukshetra",AAAA,--
157,"University Institute of Engineering and Technology, Panjab University, Chandigarh",AAAA,--
158,"University Visvesvaraya College of Engineering, Bangalore",AAAA,--
159,"University of Kalyani, Kalyani",AAAA,--
160,"University of Petroleum and Energy Studies, Dehradun",AAAA,145
161,"Vasavi College of Engineering, Hyderabad",AAAA,170
162,"Vellore Institute of Technology, Vellore",AAAA,18
163,"Vignan's Foundation for Science Technology and Research, Guntur",AAAA,107
164,"Walchand College of Engineering, Sangli",AAAA,153
165,"Zakir Husain College of Engineering and Technology, Aligarh Muslim University, Aligarh",AAAA,--
166,"AISSMS College of Engineering, Pune",AAA+,--
167,"Acharya Institute of Technology, Bangalore",AAA+,--
168,"Aditya College of Engineering and Technology, Surampalem",AAA+,--
169,"Ahmedabad University, Ahmedabad",AAA+,--
170,"Ajay Kumar Garg Engineering College, Ghaziabad",AAA+,--
171,"Alliance College of Engineering and Design, Bangalore",AAA+,--
172,"Ambedkar Institute of Advanced Communication Technologies and Research, Delhi",AAA+,--
173,"Amritsar College of Engineering and Technology, Amritsar",AAA+,--
174,"Anil Neerukonda Institute of Technology and Sciences, Visakhapatnam",AAA+,--
175,"Annamacharya Institute of Technology and Sciences, Rajampet",AAA+,--
176,"Anurag Group of Institutions, Ghatkesar",AAA+,169
177,"Apex Institute of Management and Technology, Karnal",AAA+,--
178,"BITS Pilani, Goa Campus",AAA+,--
179,"BMS Institute of Technology and Management, Bangalore",AAA+,157
180,"BNM Institute of Technology, Bangalore",AAA+,156
181,"BS Abdur Rahman Institute of Science and Technology, Chennai",AAA+,131
182,"BV Raju Institute of Technology, Narsapur",AAA+,168
183,"BVRIT Hyderabad College of Engineering for Women, Hyderabad",AAA+,147
184,"BVV Sangha's Basaveshwar Engineering College, Bagalkot",AAA+,191
185,"Baba Farid College of Engineering and Technology, Bathinda",AAA+,--
186,"Babu Banarasi Das University, Lucknow",AAA+,--
187,"Bangalore Institute of Technology, Bangalore",AAA+,--
188,"Beant College of Engineering and Technology, Gurdaspur",AAA+,--
189,"Bharati Vidyapeeth's College of Engineering, Delhi",AAA+,--
190,"Bhilai Institute of Technology, Durg",AAA+,--
191,"Bhopal Institute of Technology, Bhopal",AAA+,--
192,"Bidhan Chandra Krishi Vishwavidyalaya, Nadia",AAA+,--
193,"Birla Vishvakarma Mahavidyalaya, Anand",AAA+,--
194,"Bundelkhand Institute of Engineering and Technology, Jhansi",AAA+,--
195,"CEPT University, Ahmedabad",AAA+,--
196,"CGC College of Engineering, Landran Campus, Mohali",AAA+,--
197,"CMR College of Engineering and Technology, Hyderabad",AAA+,--
198,"CMR Institute of Technology, Bangalore",AAA+,174
199,"Centurion University of Technology and Management, Paralakhemundi",AAA+,--
200,"Chandigarh College of Engineering and Technology, Chandigarh",AAA+,--
201,"Charotar University of Science and Technology, Petlad",AAA+,--
202,"Chaudhary Charan Singh Haryana Agricultural University, Hisar",AAA+,--
203,"Chitkara University, Himachal Pradesh",AAA+,--
204,"Chitkara University, Patiala",AAA+,--
205,"College of Technology and Engineering, Maharana Pratap University of Agriculture and Technology, Udaipur",AAA+,--
206,"DAV Institute of Engineering and Technology, Jalandhar",AAA+,--
207,"DIT University, Dehradun",AAA+,--
208,"Dayananda Sagar Academy of Technology and Management, Bangalore",AAA+,--
209,"Deen Bandhu Chhotu Ram University of Science and Technology, Murthal",AAA+,--
210,"Dharmsinh Desai University, Nadiad",AAA+,--
211,"Dr Ambedkar Institute of Technology for Handicapped, Kanpur",AAA+,--
212,"Dr Ambedkar Institute of Technology, Bangalore",AAA+,163
213,"Dr DY Patil University, Navi Mumbai",AAA+,--
214,"Dr MGR Educational and Research Institute, Chennai",AAA+,196
215,"Dr SS Bhatnagar University Institute of Chemical Engineering and Technology, Chandigarh",AAA+,--
216,"Dwarkadas J Sanghvi College of Engineering, Mumbai",AAA+,195
217,"Easwari Engineering College, Chennai",AAA+,200
218,"Erode Sengunthar Engineering College, Thudupathi",AAA+,--
219,"Faculty of Engineering and Technology, Manav Rachna International Institute of Research and Studies, Faridabad",AAA+,--
220,"G Narayanamma Institute of Technology and Science For Women, Hyderabad",AAA+,--
221,"G Pulla Reddy Engineering College, Kurnool",AAA+,177
222,"GB Pant Government Engineering College, Delhi",AAA+,--
223,"GH Raisoni College of Engineering, Nagpur",AAA+,111
224,"GL Bajaj Institute of Technology and Management, Greater Noida",AAA+,--
225,"GLA University, Mathura",AAA+,--
226,"GMR Institute of Technology, Rajam",AAA+,--
227,"Gokaraju Rangaraju Institute of Engineering and Technology, Hyderabad",AAA+,179
228,"Government College of Engineering Textile Technology, Serampore",AAA+,--
229,"Government College of Engineering and Ceramic Technology, Kolkata",AAA+,--
230,"Government College of Engineering and Leather Technology, Kolkata",AAA+,--
231,"Government College of Engineering and Technology, Jammu",AAA+,--
232,"Government College of Engineering, Amravati",AAA+,--
233,"Government College of Engineering, Aurangabad",AAA+,--
234,"Government College of Engineering, Bargur",AAA+,--
235,"Government College of Engineering, Kannur",AAA+,--
236,"Government College of Engineering, Salem",AAA+,--
237,"Government Engineering College, Barton Hill, Thiruvananthapuram",AAA+,--
238,"Government Engineering College, Kozhikode",AAA+,--
239,"Government Engineering College, Sreekrishnapuram",AAA+,--
240,"Government Model Engineering College, Thrikkakara",AAA+,--
241,"Gulzar Group of Institutes, Ludhiana",AAA+,--
242,"Guru Jambheshwar University of Science and Technology, Hisar",AAA+,--
243,"Guru Nanak Institutions Technical Campus, Ibrahimpatnam",AAA+,--
244,"Haldia Institute of Technology, Haldia",AAA+,174
245,"Heritage Institute of Technology, Kolkata",AAA+,150
246,"ICFAI University, Dehradun",AAA+,--
247,"IK Gujral Punjab Technical University, Jalandhar",AAA+,96
248,"ITM University, Gwalior",AAA+,--
249,Indian Institute of Information Technology Design and Manufacturing Kurnool,AAA+,--
250,Indian Institute of Information Technology Dharwad,AAA+,--
251,Indian Institute of Information Technology Kalyani,AAA+,--
252,Indian Institute of Information Technology Tiruchirappalli,AAA+,--
253,"Indian Institute of Information Technology, Kota",AAA+,--
254,"Indian Institute of Information Technology, Kottayam",AAA+,--
255,"Indian Institute of Information Technology, Sri City",AAA+,--
256,"Indian Institute of Information Technology, Vadodara",AAA+,--
257,Indian Institute of Petroleum and Energy Visakhapatnam,AAA+,--
258,Indian Institute of Technology Dharwad,AAA+,--
259,Indian Institute of Technology Palakkad,AAA+,--
260,Indian Institute of Technology Tirupati,AAA+,--
261,"Indira Gandhi Delhi Technical University for Women, Delhi",AAA+,162
262,"Institute of Aeronautical Engineering, Dundigal",AAA+,139
263,"International Institute of Information Technology, Bhubaneswar",AAA+,--
264,"International Institute of Information Technology, Pune",AAA+,--
265,"JECRC University, Jaipur",AAA+,--
266,"JK Lakshmipat University, Jaipur",AAA+,--
267,"JNTUA College of Engineering, Pulivendula",AAA+,--
268,"JNTUK University College of Engineering, Vizianagaram",AAA+,--
269,"JSS Academy of Technical Education, Bangalore",AAA+,--
270,"JSS Academy of Technical Education, Noida",AAA+,--
